State,Category,Subcategory,Estimated Population,State Population
Missouri,Ancestry,Hungarian,12576,6113532
Montana,Ancestry,Hungarian,3018,1050493
Nebraska,Ancestry,Hungarian,2846,1920076
Nevada,Ancestry,Hungarian,10411,2998039
New Hampshire,Ancestry,Hungarian,3924,1342795
New Jersey,Ancestry,Hungarian,95398,9005644
New Mexico,Ancestry,Hungarian,3404,2088070
New York,Ancestry,Hungarian,135289,19849399
North Carolina,Ancestry,Hungarian,24302,10273419
North Dakota,Ancestry,Hungarian,2294,755393
Ohio,Ancestry,Hungarian,191541,11658609
Oklahoma,Ancestry,Hungarian,3309,3930864
Oregon,Ancestry,Hungarian,14165,4142776
Pennsylvania,Ancestry,Hungarian,118800,12805537
Rhode Island,Ancestry,Hungarian,2371,1059639
South Carolina,Ancestry,Hungarian,12579,5024369
South Dakota,Ancestry,Hungarian,1644,869666
Tennessee,Ancestry,Hungarian,10101,6715984
Texas,Ancestry,Hungarian,37937,28304596
Utah,Ancestry,Hungarian,4505,3101833
Vermont,Ancestry,Hungarian,2586,623657
Virginia,Ancestry,Hungarian,31567,8470020
Washington,Ancestry,Hungarian,19834,7405743
West Virginia,Ancestry,Hungarian,7625,1815857
Wisconsin,Ancestry,Hungarian,20373,5795483
Wyoming,Ancestry,Hungarian,2683,579315
Alabama,Ancestry,Irish,380766,4874747
Alaska,Ancestry,Irish,72549,739795
Arizona,Ancestry,Irish,589221,7016270
Arkansas,Ancestry,Irish,279122,3004279
California,Ancestry,Irish,2323593,39536653
Colorado,Ancestry,Irish,618500,5607154
Connecticut,Ancestry,Irish,546383,3588184
Delaware,Ancestry,Irish,131890,961939
District of Columbia,Ancestry,Irish,48683,693972
Florida,Ancestry,Irish,1723519,20984400
Georgia,Ancestry,Irish,736848,10429379
Hawaii,Ancestry,Irish,64973,1427538
Idaho,Ancestry,Irish,148977,1716943
Illinois,Ancestry,Irish,1437162,12802023
Indiana,Ancestry,Irish,714303,6666818
Iowa,Ancestry,Irish,403179,3145711
Kansas,Ancestry,Irish,331499,2913123
Kentucky,Ancestry,Irish,501924,4454189
Louisiana,Ancestry,Irish,309946,4684333
Maine,Ancestry,Irish,219611,1335907
Maryland,Ancestry,Irish,600962,6052177
Massachusetts,Ancestry,Irish,1390013,6859819
Michigan,Ancestry,Irish,1019116,9962311
Minnesota,Ancestry,Irish,567933,5576606
Mississippi,Ancestry,Irish,199449,2984100
Missouri,Ancestry,Irish,753797,6113532
Montana,Ancestry,Irish,138837,1050493
