"","YEAR","MONTH","DAY_OF_MONTH","Region","NumFlights","NumCancels","NumWeatherCancels","NumCarrierCancels","NumNatAirSys","NumSecurity"
"462",2017,4,26,"Mid",2857,8,1,3,4,0
"463",2017,4,26,"South",5236,29,4,13,12,0
"464",2017,4,26,"West",5148,48,25,7,16,0
"465",2017,4,27,"East",2677,14,0,8,6,0
"466",2017,4,27,"Mid",2903,11,2,8,1,0
"467",2017,4,27,"South",5371,17,4,8,5,0
"468",2017,4,27,"West",5271,41,20,8,13,0
"469",2017,4,28,"East",2684,15,1,7,7,0
"470",2017,4,28,"Mid",2901,8,4,3,1,0
"471",2017,4,28,"South",5400,7,1,5,1,0
"472",2017,4,28,"West",5296,24,1,10,13,0
"473",2017,4,29,"East",2064,17,9,7,1,0
"474",2017,4,29,"Mid",2087,53,43,9,1,0
"475",2017,4,29,"South",4436,143,121,22,0,0
"476",2017,4,29,"West",4348,76,40,13,23,0
"477",2017,4,30,"East",2451,16,1,11,4,0
"478",2017,4,30,"Mid",2729,37,13,18,6,0
"479",2017,4,30,"South",5171,48,20,17,11,0
"480",2017,4,30,"West",5078,70,25,18,27,0
"481",2017,5,1,"East",2681,91,21,8,62,0
"482",2017,5,1,"Mid",2923,51,21,18,12,0
"483",2017,5,1,"South",5357,43,14,16,13,0
"484",2017,5,1,"West",5247,23,0,10,13,0
"485",2017,5,2,"East",2610,20,5,10,5,0
"486",2017,5,2,"Mid",2881,10,0,9,1,0
"487",2017,5,2,"South",5185,14,2,11,1,0
"488",2017,5,2,"West",5124,13,0,9,4,0
"489",2017,5,3,"East",2617,11,2,9,0,0
"490",2017,5,3,"Mid",2892,14,4,6,4,0
"491",2017,5,3,"South",5202,112,35,20,57,0
"492",2017,5,3,"West",5191,44,3,30,11,0
"493",2017,5,4,"East",2666,19,7,12,0,0
"494",2017,5,4,"Mid",2930,19,5,14,0,0
"495",2017,5,4,"South",5346,54,23,19,12,0
"496",2017,5,4,"West",5274,38,7,23,8,0
"497",2017,5,5,"East",2662,166,26,30,110,0
"498",2017,5,5,"Mid",2978,42,7,19,16,0
"499",2017,5,5,"South",5339,74,15,32,27,0
"500",2017,5,5,"West",5337,26,2,16,8,0
"501",2017,5,6,"East",2041,24,6,11,7,0
"502",2017,5,6,"Mid",2165,17,1,16,0,0
"503",2017,5,6,"South",4395,31,2,28,1,0
"504",2017,5,6,"West",4418,39,0,26,13,0
"505",2017,5,7,"East",2455,17,0,15,2,0
"506",2017,5,7,"Mid",2804,19,0,18,1,0
"507",2017,5,7,"South",5154,27,0,26,1,0
"508",2017,5,7,"West",5149,56,9,30,17,0
"509",2017,5,8,"East",2682,17,0,15,2,0
"510",2017,5,8,"Mid",2987,25,2,22,1,0
"511",2017,5,8,"South",5345,27,0,25,2,0
"512",2017,5,8,"West",5306,40,9,31,0,0
"513",2017,5,9,"East",2625,11,0,11,0,0
